cpx,cpy
62.83,93.28
62.95,93.34
62.95,93.34
62.99,93.49
63.04,93.53
63.04,93.53
63.04,93.53
63.12,93.58
63.12,93.58
63.25,93.71
63.3,93.78
63.3,93.78
63.36,93.84
63.36,93.84
63.36,93.84
63.41,93.9
63.49,93.92
63.48,93.98
63.53,93.99
63.6,93.98
63.67,94.01
63.67,94.01
63.71,94.0
63.72,94.09
63.72,94.09
63.72,94.09
63.75,94.08
63.78,94.11
63.78,94.11
63.78,94.14
63.78,94.14
63.77,94.19
63.77,94.19
63.7,94.2
63.68,94.24
63.68,94.24
63.68,94.24
63.68,94.24
63.71,94.26
63.71,94.26
63.71,94.26
63.71,94.28
63.71,94.28
63.61,94.25
63.6,94.23
63.59,94.24
63.5,94.2
63.5,94.2
63.39,94.19
63.39,94.19
63.34,94.14
63.24,94.13
63.07,94.08
63.02,94.07
62.88,94.07
62.88,94.05
62.88,94.05
62.76,94.08
62.8,94.05
62.76,94.05
62.72,94.06
62.73,94.06
62.73,94.06
62.71,94.07
62.71,94.05
62.72,94.06
62.71,94.04
62.75,94.05
62.75,94.05
62.73,94.05
62.73,94.05
62.81,94.05
62.8,94.06
62.84,94.05
62.84,94.05
62.84,94.05
62.84,94.05
62.86,94.05
62.9,94.05
62.91,94.05
62.91,94.05
63.01,94.02
63.01,94.02
62.96,94.05
63.06,94.02
63.06,94.02
63.1,94.01
63.1,94.01
63.1,94.01
63.13,94.04
63.18,93.99
63.18,94.01
63.18,94.01
63.18,94.01
63.18,94.01
63.25,93.99
63.23,93.98
63.27,93.99
63.25,93.97
63.25,93.97
63.25,93.97
63.33,93.99
63.33,93.99
63.32,94.01
63.36,93.99
63.35,93.97
63.35,93.97
63.35,93.97
63.35,93.97
63.38,94.01
63.38,94.01
63.38,94.01
63.38,94.01
63.43,94.0
63.42,94.01
63.42,94.01
63.48,94.02
63.48,94.02
63.48,94.02
63.5,94.02
63.45,94.01
63.45,94.01
63.45,94.01
63.45,94.01
63.39,93.98
63.39,93.98
63.44,93.96
63.42,93.95
63.36,93.95
63.35,93.94
63.35,93.91
63.35,93.91
63.33,93.92
63.33,93.92
63.33,93.92
63.33,93.92
63.33,93.92
63.33,93.92
63.36,93.89
63.36,93.89
63.37,93.85
63.29,93.87
63.29,93.87
63.29,93.87
63.29,93.87
63.27,93.88
63.24,93.86
63.21,93.86
63.23,93.86
63.23,93.86
63.23,93.86
63.24,93.88
63.24,93.88
63.2,93.89
63.21,93.88
63.21,93.88
63.23,93.88
63.23,93.88
63.23,93.88
63.23,93.91
63.23,93.91
63.23,93.9
63.24,93.88
63.24,93.88
63.23,93.9
63.22,93.92
63.18,93.94
63.18,93.94
63.17,93.92
63.15,93.93
63.17,93.9
63.17,93.9
63.14,93.94
63.12,93.98
63.12,93.98
63.12,93.98
63.1,93.95
63.08,94.0
63.08,94.0
63.09,93.97
63.18,93.94
63.17,93.92
63.15,93.93
63.17,93.9
63.17,93.9
63.14,93.94
63.12,93.98
63.12,93.98
63.12,93.98
63.1,93.95
63.08,94.0
63.08,94.0
63.09,93.97
63.05,93.99
63.05,93.99
63.05,93.99
63.04,94.01
63.04,94.01
63.05,94.0
63.05,94.0
63.0,94.03
63.0,94.03
63.0,94.03
63.04,94.04
63.04,94.04
63.03,94.05
63.03,94.05
63.01,94.06
63.01,94.08
63.01,94.05
63.03,94.08
63.03,94.08
63.03,94.1
63.05,94.12
63.07,94.11
63.07,94.13
63.1,94.12
63.15,94.11
63.15,94.11
63.11,94.15
63.11,94.15
63.13,94.13
63.11,94.16
63.11,94.15
63.12,94.14
63.08,94.17
63.08,94.16
63.05,94.17
63.06,94.17
63.06,94.17
63.06,94.17
63.05,94.14
63.05,94.14
63.0,94.14
63.0,94.12
63.0,94.12
62.94,94.14
62.95,94.11
62.92,94.12
62.94,94.12
62.94,94.12
62.95,94.09
62.9,94.11
62.9,94.11
63.04,94.04
63.04,94.04
63.03,94.05
63.03,94.05
63.01,94.06
63.01,94.08
63.01,94.05
63.03,94.08
63.03,94.08
63.03,94.1
63.05,94.12
63.07,94.11
